,artist,album,track_name,release_date,duration_ms,popularity
81,Drake,For All The Dogs,Members Only (feat. PARTYNEXTDOOR),2023-10-06,277720,82
82,Bad Bunny,nadie sabe lo que va a pasar mañana,ACHO PR,2023-10-13,359647,86
83,Drake,For All The Dogs,Bahamas Promises,2023-10-06,184089,82
84,Drake,For All The Dogs,Drew A Picasso,2023-10-06,262768,81
85,Drake,For All The Dogs,Tried Our Best,2023-10-06,209990,81
86,Zach Bryan,Zach Bryan,Hey Driver (feat. The War and Treaty),2023-08-25,227466,86
87,Drake,For All The Dogs,Amen (feat. Teezo Touchdown),2023-10-06,141212,82
88,Drake,For All The Dogs,All The Parties (feat. Chief Keef),2023-10-06,218611,81
89,Lil Tecca,500lbs,500lbs,2023-07-21,144390,85
90,Myke Towers,LA VIDA ES UNA,LALA,2023-03-23,197920,97
91,Offset,WORTH IT (feat. Don Toliver),WORTH IT (feat. Don Toliver),2023-10-12,188333,71
92,Jung Kook,3D (feat. Jack Harlow),3D (feat. Jack Harlow),2023-09-29,201812,95
93,Sexyy Red,Hood Hottest Princess,SkeeYee,2023-06-09,157125,81
94,Drake,For All The Dogs,Another Late Night (feat. Lil Yachty),2023-10-06,170414,82
95,Morgan Wallen,3 Songs At A Time Sampler,Everything I Love,2023-01-31,187047,68
96,Victoria Monét,On My Mama,On My Mama,2023-06-16,186678,75
97,Rod Wave,Nostalgia,Turks & Caicos (feat. 21 Savage),2023-09-15,203345,81
98,*NSYNC,Better Place (From TROLLS Band Together),Better Place (From TROLLS Band Together),2023-09-29,216666,77
99,HARDY,TRUCK BED,TRUCK BED,2022-10-10,167534,71
